index,actor_id,name,year,total_emissions,population,gdp,energy_consumption_EJ,renewable_consumption_EJ,emissions_per_pop,gdp_per_pop,energy_per_gdp,emissions_per_energy,population_per_emissions,renewables_per_energy
2606,SI,Slovenia,2011,15210200.231329937,2065453,51575000000,0.302886067453351,0.00504420097258,7.36409893196792,24970.309176727817,5.872730343254504e-12,50217563.18874765,0.13579393884280264,0.016653790037261723
2607,SI,Slovenia,2012,14697206.817977913,2069354,46607000000,0.2943303641738657,0.0068157128971715,7.1023163837496694,22522.487694227282,6.315153607266413e-12,49934388.7241482,0.14079913453138085,0.023156676057878106
2608,SI,Slovenia,2013,14090010.787012104,2072375,48416000000,0.2911779458557587,0.0076188524069059,6.798967748120926,23362.567102961577,6.0140851341655375e-12,48389690.86618908,0.14708115070502817,0.026165623170788025
2609,SI,Slovenia,2014,12629577.085939793,2074917,50010000000,0.2986974159043145,0.0073160513165468,6.086786645412705,24102.16890603335,5.972753767332823e-12,42282177.25855916,0.16429029934105677,0.024493185836232487
2610,SI,Slovenia,2015,12698938.612583231,2080862,43112000000,0.2693783104315003,0.0070239174125079,6.102729836280941,20718.336919987967,6.248337131923833e-12,47141652.17029387,0.1638610960712967,0.02607454698656594
2611,SI,Slovenia,2016,13632389.553687964,2090020,44754000000,0.2879214469973997,0.0066640796488852,6.522612010262085,21413.192218256285,6.433423760946501e-12,47347600.173081525,0.1533128137051063,0.023145478457342515
2612,SI,Slovenia,2017,13874549.017464414,2098392,48572000000,0.2910197351709583,0.0071660305961805,6.611990999519829,23147.24798798318,5.991512294551558e-12,47675629.31535853,0.1512403752625527,0.024623864742268582
2613,SI,Slovenia,2018,13937493.728730343,2105924,54202000000,0.2969290513831391,0.0086491319521013,6.6182320581038745,25737.870882330037,5.478193634610145e-12,46938801.25170458,0.15109775408608148,0.029128614771146085
2614,SI,Slovenia,2019,13277867.440626724,2112902,54338000000,0.2883298164104972,0.0098345633756049,6.28418518257199,25717.23629396915,5.306227987973374e-12,46050969.011553526,0.1591296199821279,0.034108728323828164
2615,SI,Slovenia,2020,11859620.908620836,2117641,53664000000,0.2785857323264059,0.010618461426366,5.600392563527452,25341.40583791115,5.191296443172441e-12,42570812.25798553,0.17855891147925926,0.03811559672382951
2616,SI,Slovenia,2021,11620165.99175461,2119410,61790000000,0.2699673063306546,0.0106752224462585,5.482736229306557,29154.340122958747,4.3691099907858e-12,43042863.78115093,0.1823906819837068,0.039542649039078615
2617,SK,Slovakia,1993,43232926.04335444,5321860,13726000000,0.75591400618443,0.0,8.12364963440497,2579.1734468775953,5.507168921640901e-11,57192915.714815244,0.12309738171927531,0.0
2618,SK,Slovakia,1994,40130616.60647999,5338811,15837000000,0.7446357408378924,0.0,7.516770420694793,2966.3908312169133,4.701873718746558e-11,53892949.80834991,0.133035857693199,0.0
2619,SK,Slovakia,1995,40780403.6148533,5349997,20034000000,0.7550974232372473,0.0,7.622509622875172,3744.674997014017,3.769079680728997e-11,54006810.72386646,0.1311903886613665,0.0
